GSenergy_pa_composition_average,BulkModulus_difference,NUnfilled_composition_average,Density_min_value,valence_composition_average,HHIr_composition_average,IsAlkalineEarth_composition_average,Density_arithmetic_average,BCCvolume_padiff_composition_average,HHIp_composition_average,ElectronAffinity_composition_average,NfUnfilled_composition_average,IsRareEarth_composition_average,IsHexagonal_composition_average,ThermalConductivity_composition_average,ElectricalConductivity_composition_average,IonicRadii_composition_average,Polarizability_min_value,NValance_composition_average,ElasticModulus_composition_average,AtomicRadii_composition_average,BCCmagmom_composition_average,BCCfermi_composition_average,NfUnfilled_max_value,BCCenergy_pa_composition_average
-5.460135936,166.9,2.92,856,4.68,3208,0.08,4491.75,-1.3868,2724,42.0432,0,0,0,65.852,8.192,0.7468,4.31,9.48,101.328,1.512,0.84426512,5.291937326,0,-5.285643041
-4.160523241,130.4,2.190217391,1.429,2.097049689,1190.993789,0.12810559,4025.4858,-0.933530668,1977.872671,98.98121118,0,0.097049689,0.097049689,102.8525972,15.56638199,1.210170807,0.802,6.361024845,35.64829193,1.152069099,7.81347E-05,3.68524022,0,-2.893467798
-4.546560917,152,3.501428571,1.429,2.252857143,1391.857143,0.041428571,5319.4858,-0.926103571,3021.857143,102.3688571,0,0.244285714,0.252857143,58.30261429,8.975857143,1.239171429,0.802,5.798571429,31.27,1.147095714,0.014631279,4.367115485,0,-3.195665226
-8.496939062,127,6.2875,7310,4.7125,7183.75,0,9243.333333,-1.7364375,7171.25,98.8375,0,0,0.0375,56.15625,7.00875,0.6905,7.06,7.7375,89.075,1.480125,0,5.884944065,0,-8.482146468
-4.237486497,112,2.589519651,1.429,2.229257642,1292.576419,0.098253275,5807.4858,-1.069568777,2244.541485,94.35873362,0,0.120087336,0.120087336,69.7114393,10.92139738,1.236244541,0.802,7.266375546,28.87554585,1.152674672,9.66823E-05,4.003412069,0,-2.918518931
-4.092786643,130.4,2.154320988,1.429,2.084876543,1216.049383,0.146604938,4860.35725,-0.937345679,1885.030864,99.78055556,0.848765432,0.084876543,0.084876543,97.0656716,14.59722222,1.238503086,0.802,6.570987654,33.83487654,1.167893519,0,3.19123348,10,-2.839278771
-4.172095115,130.4,1.865657711,1.429,2.059137276,1136.329089,0.140809387,3690.6858,-0.94380592,1704.353624,98.444963,0,0,0.059137276,112.5072605,16.97347823,1.197465164,0.802,6.592772852,38.78783919,1.147317154,0,3.236409007,0,-2.92929165
-6.181662656,108.9,3.603603604,1.251,5.003003003,1459.159159,0.099099099,4206.11625,-3.626501502,2159.159159,97.48948949,0,0,0.600600601,8.740804805,1.298498498,1.447027027,1.1,9.207207207,43.03003003,1.263243243,0,4.128601555,0,-4.630973578
-4.671017818,132,3.870022753,1.429,2.295079636,1388.438567,0,5294.35725,-0.853533845,3222.198521,111.7047355,0,0.284414107,0.284414107,59.70145859,8.970776451,1.235786405,0.802,5.836461889,31.87215586,1.134305319,0.000228982,4.603674506,0,-3.311254856
-4.588842558,142,5.155393053,1.429,2.550274223,2063.071298,0,6295.60725,-0.370292505,5585.740402,87.99707495,4.387568556,0.548446069,0,61.79285704,8.841681901,1.132559415,0.802,7.780621572,41.83546618,1.393012797,0.000118039,3.35436341,8,-3.784392074
-6.575980626,222.3,3.375,1960,5.5,2675,0,7053.333333,-5.0821875,1450,150.9975,0,0,0,102.0095,14.075,0.4575,2.9,6.625,145.75,1.3055,0,7.669009675,0,-6.024045899
-6.658925978,298,4.716666667,2260,3.183333333,1691.666667,0,4957.8,-0.17225,3011.666667,67.21666667,0.216666667,0.016666667,0.316666667,42.00333333,5.171666667,0.505333333,1.67,5.516666667,227.66,1.195583333,0.0215224,7.110210612,13,-5.309114768
-4.52577226,179,2.170212766,1.429,2.411347518,1585.106383,0.141843972,5678.6858,-1.170957447,2009.219858,81.92695035,0,0,0.127659574,71.0798539,11.15319149,1.204397163,0.802,6.113475177,50.43971631,1.127276596,3.25106E-06,3.41775187,0,-3.155408745
-4.2666614,170.4,2.036925917,1.429,2.095391953,1191.437803,0.153857989,5160.6858,-0.937289407,1881.644742,94.38163705,0,0,0.095391953,91.28637069,13.78782983,1.217739826,0.802,6.270790061,37.1228556,1.168341411,0.031092309,3.192711201,0,-3.010441821
-8.415995315,112,6.25,6110,4.75,6325,0,7330,-2.01375,6375,96.5,0,0,0,54.05,6.8,0.645,7.06,7.25,93.625,1.46325,0,6.133153361,0,-8.399464903
-4.572461663,112,3.544285714,1.429,2.29,1384.428571,0.038571429,5033.4858,-0.922175739,3024.142857,102.3917143,0,0.247142857,0.247142857,57.54098571,8.817857143,1.239057143,0.802,5.784285714,31.28428571,1.146204286,0.007215314,4.396738247,0,-3.220776361
-4.196709138,130.4,2.061022121,1.429,2.091533181,1193.363844,0.152555301,3705.5715,-1.01168955,1906.559878,88.34942792,0,0,0.076277651,92.730146,14.22120519,1.209305873,0.802,6.183066362,34.56140351,1.163668955,0,3.217019834,0,-2.931684985
-3.851243636,123,1.733333333,1.429,2.266666667,1473.333333,0.2,4797.5715,-1.443566667,2016,67.65333333,0,0,0,73.26421333,11.37733333,1.1852,0.4,7.866666667,23.01333333,1.182666667,0,3.487486321,0,-2.611370989
-4.095795648,130.4,2.100775194,1.429,2.07751938,1253.875969,0.15503876,4362.238167,-1.034108527,1942.248062,88.44883721,0.554263566,0.050387597,0.07751938,96.19535349,14.84534884,1.210968992,0.802,6.410852713,35.2744186,1.167651163,0,3.187585848,11,-2.848299624
-4.601867409,118,4.571428571,1.429,2.307142857,1385.714286,0,6104.2858,-0.9665,3228.571429,111.8142857,2.835714286,0.285714286,0.264285714,61.87494286,9.101428571,1.262785714,0.802,6.785714286,28.88571429,1.119542857,0,3.369629328,13,-3.246149949
-9.284397297,137,5.164948454,1.251,4.896907216,4778.350515,0,3610.417,-2.871997423,4928.865979,59.42268041,0,0,0.484536082,27.69032227,3.409278351,0.998659794,1.1,4.896907216,54.32989691,1.181340206,0,5.814702074,0,-7.252572453
-4.089074928,111,2.123751436,1.429,2.565720852,2006.231769,0.141430213,5594.2858,-1.706141165,2287.324317,86.64936798,0.388933086,0.035357553,0.035357553,37.92770231,6.284805091,1.246017856,0.4,9.907009635,20.86095642,1.189577477,0,3.967293568,11,-2.784954165
-3.380443695,123,1.85625,1.429,2.83125,2933.125,0.35625,4558.904833,-1.26284375,3998.125,8.06875,0,0,0.08125,138.0435875,21.765625,1.015375,0.4,11.33125,51.08875,1.67275,0,4.474511869,0,-3.193290129
-10.23918,277,5,2260,5,2800,0,10596.66667,0.48,1910,105.55,0,0,0.5,72.6,8.775,0.376,1.67,6.4,172.4,1.1368,0,8.53078869,0,-8.070204215
-4.797057504,166.9,2.548314607,856,5.078651685,4536.179775,0,4516.333333,-2.76976779,2181.123596,105.324764,0,0,0.449438202,49.1811236,10.72,0.704426966,3.77,10.30561798,86.71865169,1.51681573,0.773119183,4.875305744,0,-4.540666258
-4.581607011,112,3.668571429,1.429,2.264285714,1383.571429,0.021428571,4941.4858,-0.891607143,3115,107.1428571,0.042857143,0.264285714,0.264285714,61.09487143,9.279428571,1.238414286,0.802,5.848571429,31.19857143,1.14161,0.000209326,4.454752199,10,-3.228711529
-4.603941591,123,3.712122294,1.429,2.269590685,1359.875705,0.016072577,4154.35725,-0.873857776,3138.117008,108.5077506,0,0.269590685,0.269590685,64.2966069,9.687341953,1.233148082,0.802,5.841274377,31.53260947,1.137441817,0.000217047,4.524600972,0,-3.25001882
-5.448195934,170.4,2.73,3510,4.686,2654.6,0.2,6630.2,-1.25931,2885.8,30.724,0,0,0.034,56.6252,6.7758,0.74048,-5.816666667,9.67,101.142,1.497756,0.809551403,5.453102929,0,-5.270624326
-4.227000522,160.4,1.516081001,1.429,2.22334723,1233.323407,0.148898154,5376.0715,-1.067361525,1907.087552,88.32677189,0.074449077,0.074449077,0.074449077,80.65197415,12.39204884,1.211643836,0.802,7.079511614,38.67629541,1.145835319,0.078568448,3.233241396,1,-2.937992527
-4.576744375,130.4,3.632142857,1.429,2.260714286,1365.714286,0.025,4644.35725,-0.863598214,3066.071429,109.2642857,0,0.260714286,0.260714286,61.41815714,9.236785714,1.242214286,0.802,5.832142857,31.075,1.144575,0.000209901,4.448871344,0,-3.224423266
-4.13159746,130.4,1.977176245,1.429,2.09129502,1175.583147,0.13694253,4865.5715,-0.964471402,1956.155567,96.38826403,0.04564751,0.09129502,0.09129502,103.7286681,15.69589629,1.205085133,0.802,6.570593874,35.53658648,1.149683206,5.51262E-05,3.552630935,2,-2.861265269
-4.529766915,112,3.462857143,1.429,2.257142857,1382.857143,0.028571429,5010.0858,-0.935242857,3077.142857,105.5857143,1.097142857,0.257142857,0.12,60.98337143,9.193142857,1.2276,0.802,6.514285714,30.31428571,1.133514286,0.000096612,3.810365801,8,-3.176617078
-3.941621052,129,1.475783476,1.429,2.096866097,1241.880342,0.216524217,3232.738167,-1.449479718,1638.461538,67.27094017,0,0,0.011396011,101.2348245,15.90598291,1.17002849,0.802,6.068376068,29.46894587,1.156267806,0,3.361315715,0,-2.659558824
-4.150528688,130.4,2.171298059,1.429,2.095165588,1191.282832,0.133231823,4025.4858,-0.936353255,1968.214694,98.32877807,0,0.095165588,0.095165588,100.9990787,15.28549676,1.214008375,0.802,6.323563,35.05519604,1.155218881,7.66178E-05,3.66214357,0,-2.880965281
-4.185878973,170.4,1.892141757,1.429,2.077041602,1171.802773,0.169491525,4558.904833,-0.953813559,1788.135593,92.05839753,0,0,0.077041602,95.16382527,14.394453,1.217411402,0.802,6.261941448,36.24961479,1.171525424,0.025948185,3.182269305,0,-2.93296628
-3.904718937,123,1.6,1.429,2.4,1806.666667,0.2,4576.2858,-1.599866667,2014.666667,72.57333333,0,0,0,63.22341333,10.26533333,1.222933333,0.4,8.933333333,24.30666667,1.2092,0,3.740978863,0,-2.662531082
-4.54498755,130.4,3.537,1.429,2.250142857,1357.257143,0.035571429,4644.35725,-0.869650357,2997.357143,108.186,0,0.250142857,0.250142857,61.46995714,9.2463,1.244962857,0.802,5.821571429,30.68385714,1.148201,0.00020139,4.383589475,0,-3.194058505
-5.968478222,148,4.777777778,1.429,4.222222222,2375,0,4844.0858,-1.072569444,4347.222222,58.51666667,0,0.138888889,0.277777778,40.47512222,4.680555556,0.85,0.802,8.222222222,85.33333333,1.364583333,0.586407042,5.631605571,0,-5.428994538
-8.8161873,94,6.53125,2700,4.635416667,7221.875,0,5531,-0.14921875,7255.208333,89.28125,0,0,0,82.66354167,11.11562516,0.618645833,5.84,5.15625,99.33854167,1.426083333,0,5.321872827,0,-8.783719455
-4.15691554,130.4,2.104373757,1.429,2.099403579,1195.82505,0.129224652,4865.5715,-0.939624751,1996.023857,98.77693837,0.029821074,0.099403579,0.099403579,100.9721674,15.26789264,1.210636183,0.802,6.492047714,35.58151093,1.152604374,6.80253E-05,3.618647988,2,-2.887708854
-5.571108733,148,4.4725625,1.429,3.9725625,2277.525,0,4536.6875,-1.078192349,3952.45,78.16325,0,0.25,0.25,35.98074,4.22433125,0.9205825,0.557,8.0274375,74.9991875,1.309224938,0.527786219,5.815562841,0,-4.894178055
-4.181941365,130.4,1.997624703,1.429,2.079176564,1189.786223,0.158353127,4808.6858,-0.91587886,1893.507522,93.65352336,0,0,0.081551861,98.98835012,14.89992082,1.213958828,-5.816666667,6.319081552,36.54235946,1.181751386,0,3.161615759,0,-2.957211653
-3.973221749,27.9,1.873,1.429,2.527,2317.7,0.127,3536.85725,-1.746486667,1865.1,103.58628,0,0,0,11.55374,1.7328,1.33657,0.4,9.727,8.6262,1.23149,0,3.735958151,0,-2.579260709
-4.587427039,130.4,3.661911555,1.429,2.263908702,1360.485021,0.021398003,3792.904833,-0.875898003,3097.831669,108.3108417,0,0.263908702,0.263908702,63.19654123,9.526276748,1.236713267,0.802,5.835948645,31.25164051,1.139961484,0.000212473,4.482864527,0,-3.233055086
-6.744963824,287,4.55,2260,3.233333333,1688.333333,0,5114,-0.163126437,3026.666667,64.53333333,0,0,0.333333333,40.71866667,4.943333333,0.503,1.67,5.45,228.0666667,1.195233333,0.034089162,7.144481198,0,-5.394387897
-4.200349449,130.4,1.998463902,1.429,2.075268817,1173.886329,0.153609831,3487.6858,-0.939452125,1855.453149,95.22242704,0,0,0.076804916,96.81764977,14.57250384,1.218525346,0.802,6.299539171,35.52995392,1.169354839,0,3.155673471,0,-2.947125641
-4.131409172,123,2.02,1.429,2.446666667,1768,0.153333333,4558.904833,-1.525633333,2272,80.57333333,0,0,0.046666667,66.48094667,10.46666667,1.208266667,0.4,8.98,26.692,1.190933333,0,3.827781181,0,-2.883432028
-4.235483791,130.4,2.097072419,1.429,2.087827427,1178.890601,0.143297381,4609.8858,-0.933308937,1926.040062,96.30647149,0,0.010785824,0.087827427,96.93223821,14.58967643,1.21614792,0.802,6.318952234,36.02311248,1.165745763,8.68367E-06,3.226918137,0,-2.980523731
-4.306177112,269,2.07751938,1.429,2.139534884,1326.356589,0.15503876,7054.6858,-1.139108527,2134.108527,76.03333333,0,0,0.07751938,91.76008217,14.37209302,1.191007752,0.802,6.449612403,40.4496124,1.162744186,0,3.224571789,0,-3.058938601
-3.957700775,123,1.665134603,1.429,2.400525279,1735.062377,0.190413657,4558.904833,-1.58061392,2018.713066,75.10525279,0,0,0.006565988,68.81252147,10.95272489,1.215495732,0.4,8.895600788,24.46093237,1.193821405,0,3.779788225,0,-2.698266875
-5.800097645,161.7,3.014778325,4819,6,3286.699507,0,6311,-3.078489327,2542.857143,106.5581281,0,0,0.492610837,41.8044335,6.865093596,0.687438424,3.77,11.9408867,123.8078818,1.38829064,1.070927431,6.846850412,0,-5.609928137
-3.948368383,27.9,1.897466828,1.429,2.504624045,2450.341777,0.102533172,3536.85725,-1.77163584,1839.565742,105.912304,0,0,0,13.72622589,2.083634901,1.338500201,0.4,9.721351025,8.404905509,1.237378368,0,3.697861662,0,-2.559102175
-3.809383366,130.4,1.300930233,1.429,2.07751938,1213.736434,0.15503876,5228.2858,-0.973184496,1841.085271,98.63260465,0,0.07751938,0.001395349,98.55930698,14.77609302,1.215517829,-5.816666667,7.319224806,32.2075969,1.182323411,0,3.053487399,0,-2.571376714
-3.939185596,123,1.62966443,1.429,2.422818792,1779.006711,0.187919463,5003.5715,-1.603126174,1999.328859,76.23292617,0,0,0.001208054,68.5832349,10.92628188,1.214173154,-5.816666667,9.162281879,24.62268456,1.195098792,0,3.831173181,0,-2.687711411
-4.079387616,130.4,2.007861635,1.429,2.078616352,1215.408805,0.157232704,4644.35725,-0.904402516,1851.415094,98.37830189,0,0.078616352,0.078616352,95.52072862,14.42845912,1.231525157,0.802,6.275157233,34.24528302,1.179386792,6.3294E-05,3.508968367,0,-2.828835545
-4.198462191,130.4,1.932432432,1.429,2.067567568,1155.405405,0.135135135,4225.85725,-0.921621622,1763.513514,99.30945946,0,0,0.067567568,112.1679541,16.90540541,1.195945946,0.802,6.608108108,39.62162162,1.152432432,0,3.237830468,0,-2.96925363
-4.554549044,112,3.578571429,1.429,2.257142857,1382.857143,0.028571429,5010.0858,-0.908339286,3077.142857,105.5857143,0.171428571,0.257142857,0.235714286,61.00651429,9.285714286,1.236857143,0.802,5.935714286,30.89285714,1.142192857,0.000189774,4.333170389,8,-3.202377765
-5.548265306,148,4.425,0.0899,3.925,2212.5,0,3949.70378,-1.238125,3887.5,67.9025,0,0.25,0.325,35.9854075,4.225,0.933,0.666793,7.625,75,1.27875,0.527866975,5.954622174,0,-4.91472057
-4.076978059,170.4,1.467904099,1.429,2.081979892,1213.379737,0.163959783,5324.5715,-0.948789637,1806.883217,96.31160093,0.136117556,0.068058778,0.081979892,94.66798778,14.2929621,1.215591647,0.802,7.020881671,37.1136891,1.168674401,0.023443673,3.17715379,2,-2.826373123
-8.422238538,60,6.75,6511,4.125,4087.5,0,13840.33333,-0.24375,3637.5,71.25,0,0,0.75,54.15,7.2625,0.7925,7.6,7,178.375,1.53775,0.1066803,5.297139124,0,-8.242598588
-3.957858474,27.9,1.8916,1.429,2.5084,2408.84,0.1084,3536.85725,-1.765210667,1840.92,105.452976,0,0,0,13.118,1.98576,1.338244,0.4,9.7084,8.42904,1.233908,0,3.705198962,0,-2.563878393
-6.658880316,291,4.533333333,2260,3.166666667,1691.666667,0,4948,-0.1625,3011.666667,67.21666667,0.183333333,0.016666667,0.333333333,42.02166667,5.173333333,0.505166667,1.67,5.533333333,227.9933333,1.195633333,0.0215224,7.10916094,11,-5.309004074
-4.955813793,275,3.333333333,1738,2.666666667,1546.666667,0.3,3779.333333,-0.704666667,3576.666667,-51,0,0,0.333333333,68.66666667,7.283333333,0.394,-5.816666667,3,310.4866667,1.177733333,0,8.196177036,0,-3.803625139
-8.501133595,94,6.5375,2700,4.4625,6617.5,0,8193.333333,0.097625,6583.75,79.65,0,0,0.0375,98.37375,14.255,0.622125,6.8,4.9875,96.9375,1.4343125,0,5.611041726,0,-8.470587724
-5.492522394,170.4,2.7152,3510,4.7576,2759.92,0.2,7283.5,-1.264728,2896.96,30.7632,0,0,0,55.58192,6.53456,0.737908,4.31,9.6424,100.8192,1.4992408,0.799519069,5.463576212,0,-5.317160997
-4.030900239,160.4,1.452012384,1.429,2.086687307,1216.640867,0.154798762,6085.238167,-0.939779412,1840.01548,97.01369969,0.154798762,0.077399381,0.091331269,92.18413947,13.84860681,1.216803406,-5.816666667,7.164086687,36.15712074,1.167626161,0.00490092,3.152492496,2,-2.778565685
-4.052147875,161.7,1.962990377,1.429,2.222057735,1177.276092,0.14803849,5109.8858,-0.98484456,1810.140637,97.2176906,0.518134715,0.074019245,0,81.07388409,12.14285714,1.223094004,0.802,6.629163583,33.78978534,1.168008882,0.078114833,3.174567977,7,-2.768269899
-4.579207747,148,3.058823529,1.429,2.323529412,1705.882353,0.117647059,5693.904833,-1.179117647,2594.117647,88.68235294,1.088235294,0.117647059,0,52.41670588,8.255882353,1.224117647,0.802,6.176470588,27.32352941,1.129441176,0,3.207565305,13,-3.207055571
-4.018124693,99,1.8125,1.429,2.0625,1350,0.1875,4005.85725,-1.1221875,2050,68.625,0,0,0.0625,102.120575,16.225,1.1825,0.802,6.3125,37.8375,1.20075,0,3.154189048,0,-2.851479953
-5.5744721,198,4.4725,1.429,3.98,2302.25,0,5353.354167,-1.07669375,3955.5,78.48725,0,0.25,0.25375,36.12326375,4.238875,0.9208375,0.557,8.0275,75.82125,1.30954,0.519952204,5.824150576,0,-4.895211927
-3.923657641,123,1.605613435,1.429,2.394386565,1748.890788,0.197193282,4576.2858,-1.592596214,1985.522727,73.85051763,0,0,0,67.50558977,10.81276498,1.21858218,0.4,8.89216814,24.12331153,1.197742466,0,3.762764911,0,-2.66624057
-5.517534999,148,4.455,1.429,3.955,2295,0,3950.025,-1.0694875,3970,81.4355,0,0.25,0.25,35.9810725,4.225,0.91935,0.557,8.045,75,1.30905,0.527866975,5.733933946,0,-4.865584918
-5.595991704,169,4.975,1.429,3.925,2296.25,0,5160.904833,-1.241940476,3926.25,74.10875,2.75,0.25,0.275,35.6147875,4.245,0.912375,0.802,8.4,74.5,1.296175,0.51700006,4.935062541,11,-4.875400908
-6.389418597,287,4.494233937,2260,3.164744646,1791.268534,0,6473.8,-0.104349259,2992.421746,74.18945634,0,0.164744646,0.352553542,42.7431631,5.313673806,0.497973641,1.67,7.835255354,231.2289951,1.183558484,0.05937066,7.060460253,0,-5.051776604
-8.386395839,112,6.325,4507,4.675,6460,0,6795.666667,-2.0025,6470,96.55,0,0,0.075,54.54,6.825,0.65525,7.06,7.175,90.95,1.478175,0,5.794578039,0,-8.361318501
-3.911475817,123,1.634551495,1.429,2.380066445,1680.863787,0.198006645,5890.204143,-1.532328904,1957.275748,73.39368771,0.013289037,0.001328904,0.001328904,68.53897475,10.96850498,1.220186047,0.4,8.9089701,24.12890365,1.203622591,0,3.767802318,10,-2.665845092
-5.812622517,9.9,3.743902439,1.251,4.963414634,1608.536585,0,1762.61625,-3.723958333,2137.804878,124.5560976,0,0,0.609756098,14.16185366,1.7,1.394146341,1.1,4.963414634,29.51219512,1.202439024,0,3.896146417,0,-4.268705768
-4.083438083,130.4,1.843014129,1.429,2.062794349,1171.899529,0.172684458,4265.5715,-0.938265306,1788.854003,90.03563579,0,0,0.078492936,97.20269042,14.64992151,1.215384615,-5.816666667,6.313971743,35.15855573,1.181083203,0,3.149382987,0,-2.850468047
-4.204279484,130.4,1.932666667,1.429,2.066666667,1146.933333,0.133333333,4808.6858,-0.932873333,1746.666667,99.7878,0,0,0.067333333,110.4859467,16.6508,1.198673333,-5.816666667,6.600666667,39.074,1.146836,0,3.23533073,0,-2.960803072
-4.938954635,148,2.5,1.429,3.25,2037.5,0.25,4468.4858,-1.39125,2362.5,29.7875,0,0,0,21.095275,3.625,1.04875,0.802,6.25,51.125,1.30525,0.26383285,4.002862551,0,-4.021855461
-4.559714633,148,2.325,1.429,3.05,1771.25,0.2875,3746.238167,-1.3785,2245,16.6625,0,0,0.125,25.024025,4.1925,1.061625,0.802,6.05,46.29,1.326825,0.26383285,3.609640089,0,-3.631571491
